YEAR;CODIGO DEPARTAMENTO;DEPARTAMENTO;POBLACION 5-16;TASA MATRICULACION 5-16;COBERTURA NETA;COBERTURA NETA TRANSICION;COBERTURA NETA PRIMARIA;COBERTURA NETA SECUNDARIA;COBERTURA NETA MEDIA;TAMANO PROMEDIO DE GRUPO;SEDES CONECTADAS A INTERNET;DESERCION;DESERCION TRANSICION;DESERCION PRIMARIA;DESERCION SECUNDARIA;DESERCION MEDIA;APROBACION;APROBACION TRANSICION;APROBACION PRIMARIA;APROBACION SECUNDARIA;APROBACION MEDIA;REPROBACION;REPROBACION TRANSICION;REPROBACION PRIMARIA;REPROBACION SECUNDARIA;REPROBACION MEDIA
2019;18;Caqueta;98.675;9.052;9.049;578;892;6.856;3.358;;;532;644;468;626;445;9.263;9.315;934;9.122;9.303;205;41;191;251;253
2019;19;Cauca;299.016;8.442;8.439;5.449;8.523;6.878;3.642;;;278;258;186;383;362;9.065;9.678;92;8.722;911;656;65;614;894;528
2019;20;Cesar;296.234;9.077;9.057;56;8.823;714;4.008;;;411;558;387;454;263;8.908;935;9.054;854;9.076;681;92;559;1.006;661
2019;23;Cordoba;387.454;9.423;9.416;549;8.917;7.923;4.526;;;264;395;202;321;247;936;952;9.459;9.205;9.332;376;85;34;475;42
2019;25;Cundinamarca;570.377;9.614;9.586;6.593;9.463;8.596;497;;;302;372;222;4;251;9.168;956;9.429;8.744;9.289;53;67;349;857;459
2019;27;Choco;143.999;8.264;8.264;5.313;8.413;5.338;2.392;;;28;322;231;373;234;8.846;967;8.847;8.491;9.246;874;8;921;1.136;521
2019;41;Huila;242.194;942;9.412;6.848;9.218;8.135;4.583;;;448;39;287;696;375;8.586;9.575;9.039;7.704;8.742;967;35;673;16;883
2019;44;La Guajira;245.778;9.292;9.286;7.201;9.302;5.799;2.508;;;251;331;232;273;194;9.327;9.582;9.329;9.195;9.489;421;87;438;532;317
2019;47;Magdalena;323.546;9.749;9.727;6.186;9.183;7.384;4.103;;;35;425;299;403;333;9.368;9.512;9.442;9.207;9.445;283;63;259;391;223
2019;50;Meta;218.194;9.359;9.351;6.464;9.163;7.983;4.499;;;397;528;326;49;31;9.099;9.462;9.315;8.699;9.239;504;1;359;811;451
2019;52;Nariño;309.763;84;8.395;5.302;7.987;6.944;38;;;145;116;96;21;153;9.585;9.856;9.699;9.389;9.587;27;29;205;401;26
2019;54;Norte de Santander;318.252;9.225;9.218;6.442;9.115;7.609;4.187;;;325;426;297;361;258;9.056;949;9.243;8.683;9.096;619;85;46;956;646
2019;63;Quindio;83.130;9.677;9.673;6.976;934;8.785;5.361;;;394;344;309;505;364;8.813;9.629;9.147;8.249;8.953;793;27;544;1.246;683
2019;66;Risaralda;156.174;9.914;9.888;6.978;9.557;8.625;5.047;;;499;583;378;668;373;886;9.336;9.166;8.312;9.146;641;81;455;102;481
2019;68;Santander;405.798;9.638;962;6.764;9.458;847;4.996;;;301;385;241;379;227;8.953;9.569;9.303;8.379;9.047;747;46;456;1.242;726
2019;70;Sucre;203.411;9.593;9.588;6.835;9.494;7.635;419;;;3;367;238;386;233;8.791;9.535;8.948;8.293;9.001;909;99;814;1.321;766
2019;73;Tolima;251.347;992;991;7.223;9.758;8.503;4.877;;;37;435;294;48;277;8.984;9.537;9.251;8.494;9.165;645;27;455;1.025;559
